,0,1,2,3,4,5,6,7,8,9
Staten Island,"('rooster', 7)","('neighbor', 5)","('apartment', 4)","('roosters', 4)","('yard', 4)","('keeping', 4)","('lizard', 4)","('kept', 4)","('health', 3)","('morning', 3)"
Middle Village,"('rooster', 4)",,,,,,,,,
Corona,"('roosters', 6)","('back', 3)","('yard', 3)",,,,,,,
Ridgewood,"('rooster', 4)","('snake', 3)",,,,,,,,
Brooklyn,"('rooster', 31)","('neighbor', 21)","('pet', 18)","('keeping', 17)","('kept', 15)","('caller', 13)","('backyard', 12)","('roosters', 9)","('large', 8)","('pets', 8)"
New York,"('rooster', 5)","('2', 4)","('customer', 4)","('chicken', 3)","('apartment', 3)","('pet', 3)","('roosters', 3)","('sugar', 3)","('snakes', 3)","('afraid', 3)"
Elmhurst,"('rooster', 4)","('kept', 3)",,,,,,,,
Rockaway Park,"('kept', 3)","('rooster', 3)",,,,,,,,
Bronx,"('roosters', 23)","('rooster', 17)","('kept', 12)","('pet', 10)","('backyard', 8)","('building', 8)","('like', 6)","(""'s"", 5)","('neighbor', 5)","('apartment', 4)"
College Point,"('pig', 5)","('even', 3)",,,,,,,,
